name,description
Wilson disease,"Wilson's disease (also called hepatolenticular degeneration) is a genetic disorder characterized by the excess build-up of copper in the body. Symptoms are typically related to the brain and liver. Liver-related symptoms include vomiting, weakness, fluid build-up in the abdomen, swelling of the legs, yellowish skin, and itchiness."
Alkaptonuria,"Alkaptonuria is a rare inherited genetic disease which is caused by a mutation in the HGD gene for the enzyme homogentisate 1,2-dioxygenase (EC 1.13.11.5); if a person inherits an abnormal copy from both parents (it is a recessive condition), the body accumulates an intermediate substance called homogentisic acid in the blood and tissues. Homogentisic acid and its oxidized form alkapton are excreted in the urine, giving it an unusually dark color. The accumulating homogentisic acid causes damage to cartilage (ochronosis, leading to osteoarthritis) and heart valves, as well as precipitating as kidney stones and stones in other organs."
Fabry disease,"Fabry disease, also known as Anderson–Fabry disease, is a rare genetic disease that can affect many parts of the body, including the kidneys, heart, brain, and skin.  Fabry disease is one of a group of conditions known as lysosomal storage diseases.  The genetic mutation that causes Fabry disease interferes with the function of an enzyme that processes biomolecules known as sphingolipids, leading to these substances building up in the walls of blood vessels and other organs."
Maple syrup urine disease,"Maple syrup urine disease (MSUD) is a rare, inherited metabolic disorder that affects the body's ability to metabolize amino acids due to a deficiency in the activity of the branched-chain alpha-ketoacid dehydrogenase (BCKAD) complex. It particularly affects the metabolism of amino acids leucine, isoleucine, and valine. With MSUD, the body is not able to properly break down these amino acids, therefore leading to the amino acids to build up in urine and become toxic."
Gaucher disease,"Gaucher's disease or Gaucher disease () (GD) is a genetic disorder in which glucocerebroside (a sphingolipid, also known as glucosylceramide) accumulates in cells and certain organs. The disorder is characterized by bruising, fatigue, anemia, low blood platelet count and enlargement of the liver and spleen, and is caused by a hereditary deficiency of the enzyme glucocerebrosidase (also known as glucosylceramidase), which acts on glucocerebroside. When the enzyme is defective, glucocerebroside accumulates, particularly in white blood cells and especially in macrophages (mononuclear leukocytes, which is often a target for intracellular parasites)."
Tay–Sachs disease,"Tay–Sachs disease is an inherited fatal lysosomal storage disease that results in the destruction of nerve cells in the brain and spinal cord. The most common form is infantile Tay–Sachs disease, which becomes apparent around the age of three to six months of age, with the infant losing the ability to turn over, sit, or crawl. This is then followed by seizures, hearing loss, and inability to move, with death usually occurring by the age of three to five."
Spinal muscular atrophy,Spinal muscular atrophy (SMA) is a rare neuromuscular disorder that results in the loss of motor neurons and progressive muscle wasting. It is usually diagnosed in infancy or early childhood and if left untreated it is the most common genetic cause of infant death. It may also appear later in life and then have a milder course of the disease.
Mucopolysaccharidosis type I,"Mucopolysaccharidoses are a group of metabolic disorders caused by the absence or malfunctioning of lysosomal enzymes needed to break down molecules called glycosaminoglycans (GAGs). These long chains of sugar carbohydrates occur within the cells that help build bone, cartilage, tendons, corneas, skin and connective tissue. GAGs (formerly called mucopolysaccharides) are also found in the fluids that lubricate joints."
Krabbe disease,Krabbe disease (KD) (also known as globoid cell leukodystrophy or galactosylceramide lipidosis) is a rare and often fatal lysosomal storage disease that results in progressive damage to the nervous system. KD involves dysfunctional metabolism of sphingolipids and is inherited in an autosomal recessive pattern. The disease is named after the Danish neurologist Knud Krabbe (1885–1961).
Niemann–Pick disease,"Niemann–Pick disease (NP), also known as acid sphingomyelinase deficiency, is a group of rare genetic diseases of varying severity. These are inherited metabolic disorders in which sphingomyelin accumulates in lysosomes in cells of many organs. NP types A, A/B, and B are caused by mutations in the SMPD1 gene, which causes a deficiency of an acid sphingomyelinase (ASM)."
